Emp_no,Employee_Number,Attrition,Business_Travel,Age,CF_age_band,CF_attrition_label,Department,Education_Field,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,CF_current_Employee,Distance_From_Home,Education_level,Environment_Satisfaction,Daily_Rate,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Standard_Hours2,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
STAFF-531,531,No,Frequently,39,35 - 44,Current Employees,R&D,Life Sciences,Male,Manager,Divorced,Yes,Y,3,1,1,High School,2,1218,52,3,5,3,19197,8213,1,14,3,3,60,90,1,21,3,21,8,1,6
STAFF-532,532,No,Frequently,56,Over 55,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,0,1,6,Bachelor's Degree,3,906,86,4,4,1,13212,18256,9,11,3,4,55,33,3,36,2,7,7,7,7
STAFF-533,533,No,Rarely,30,25 - 34,Current Employees,Sales,Technical Degree,Female,Sales Executive,Single,No,Y,6,1,12,Bachelor's Degree,2,1082,83,3,2,3,6577,19558,0,11,3,2,65,58,0,6,3,5,4,4,4
STAFF-534,534,No,Rarely,41,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,2,1,1,Bachelor's Degree,2,645,49,4,3,1,8392,19566,1,16,3,3,85,45,1,10,3,10,7,0,7
STAFF-536,536,No,Rarely,28,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,2,1,17,Associates Degree,3,1300,79,3,2,1,4558,13535,1,12,3,4,80,56,1,10,3,10,0,1,8
STAFF-538,538,Yes,Rarely,25,25 - 34,Ex-Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,5,0,3,Bachelor's Degree,1,688,91,3,1,1,4031,9396,5,13,3,3,65,69,1,6,3,2,2,0,2
STAFF-543,543,No,Rarely,52,45 - 54,Current Employees,R&D,Medical,Male,Manufacturing Director,Married,Yes,Y,4,1,3,Bachelor's Degree,4,319,39,2,3,3,7969,19609,2,14,3,3,65,83,0,28,3,5,4,0,4
STAFF-544,544,No,Rarely,45,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,3,1,10,Associates Degree,1,192,69,3,1,4,2654,9655,3,21,4,4,75,60,2,8,2,2,2,0,2
STAFF-546,546,No,Rarely,52,45 - 54,Current Employees,R&D,Life Sciences,Female,Manager,Married,No,Y,2,1,4,Associates Degree,4,1490,30,3,4,4,16555,10310,2,13,3,4,55,77,0,31,1,5,2,1,4
STAFF-547,547,No,Frequently,42,35 - 44,Current Employees,R&D,Life Sciences,Female,Research Scientist,Divorced,No,Y,3,1,29,Associates Degree,1,532,92,3,2,3,4556,12932,2,11,3,2,70,31,1,19,3,5,4,0,2
STAFF-548,548,No,Rarely,30,25 - 34,Current Employees,R&D,Life Sciences,Female,Manufacturing Director,Single,No,Y,2,1,2,Bachelor's Degree,3,317,43,1,2,4,6091,24793,2,20,4,3,60,41,0,11,3,5,4,0,2
STAFF-549,549,No,Rarely,60,Over 55,Current Employees,R&D,Life Sciences,Female,Manager,Married,No,Y,5,1,7,Bachelor's Degree,1,422,41,3,5,1,19566,3854,5,11,3,4,70,34,0,33,1,29,8,11,10
STAFF-550,550,No,Rarely,46,45 - 54,Current Employees,R&D,Medical,Female,Manufacturing Director,Divorced,No,Y,5,1,18,Bachelor's Degree,3,1485,87,3,2,3,4810,26314,2,14,3,3,65,46,1,19,2,10,7,0,8
STAFF-551,551,No,Frequently,42,35 - 44,Current Employees,R&D,Technical Degree,Female,Healthcare Representative,Married,No,Y,4,1,28,Master's Degree,4,1368,88,2,2,4,4523,4386,0,11,3,4,70,80,3,7,4,6,5,0,4
STAFF-554,554,Yes,Rarely,24,Under 25,Ex-Employees,Sales,Technical Degree,Female,Sales Representative,Single,Yes,Y,4,0,1,High School,1,1448,62,3,1,2,3202,21972,1,16,3,2,55,68,0,6,3,5,3,1,4
STAFF-555,555,Yes,Frequently,34,25 - 34,Ex-Employees,Sales,Marketing,Female,Sales Representative,Divorced,No,Y,3,0,6,Associates Degree,4,296,33,1,1,3,2351,12253,0,16,3,4,70,61,1,3,2,2,2,1,0
STAFF-556,556,No,Frequently,38,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,Yes,Y,3,1,2,Associates Degree,4,1490,42,3,1,4,1702,12106,1,23,4,3,70,77,1,1,3,1,0,0,0
STAFF-558,558,No,Rarely,40,35 - 44,Current Employees,Sales,Life Sciences,Female,Manager,Married,No,Y,2,1,2,Master's Degree,3,1398,79,3,5,3,18041,13022,0,14,3,4,60,69,0,21,3,20,15,1,12
STAFF-560,560,No,Rarely,26,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Divorced,No,Y,3,1,23,Bachelor's Degree,1,1349,90,3,1,4,2886,3032,1,22,4,2,65,75,2,3,1,3,2,0,2
STAFF-562,562,No,No,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,3,1,3,Bachelor's Degree,3,1400,53,3,1,4,2097,16734,4,15,3,3,60,65,1,9,1,5,3,1,4
STAFF-564,564,No,Rarely,29,25 - 34,Current Employees,R&D,Medical,Male,Research Director,Married,No,Y,2,1,3,Master's Degree,2,986,93,2,3,3,11935,21526,1,18,3,3,80,33,0,10,3,10,2,0,7
STAFF-565,565,Yes,Rarely,29,25 - 34,Ex-Employees,R&D,Technical Degree,Female,Research Scientist,Married,No,Y,2,0,25,Doctoral Degree,3,408,71,2,1,2,2546,18300,5,16,3,2,70,61,0,6,4,2,2,1,1
STAFF-566,566,Yes,Rarely,19,Under 25,Ex-Employees,HR,Technical Degree,Male,Human Resources,Single,No,Y,3,0,2,Associates Degree,1,489,52,2,1,4,2564,18437,1,12,3,3,55,42,0,1,4,1,0,0,0
STAFF-567,567,No,No,30,25 - 34,Current Employees,Sales,Other,Female,Sales Executive,Married,No,Y,3,1,22,Master's Degree,3,1398,69,3,3,1,8412,2890,0,11,3,3,85,79,0,10,3,9,8,7,8
STAFF-568,568,No,Rarely,57,Over 55,Current Employees,Sales,Marketing,Male,Manager,Divorced,No,Y,3,1,29,Bachelor's Degree,1,210,56,2,4,4,14118,22102,3,12,3,3,65,65,1,32,2,1,0,0,0
STAFF-569,569,No,Rarely,50,45 - 54,Current Employees,R&D,Life Sciences,Male,Manager,Married,No,Y,2,1,29,Master's Degree,2,1099,88,2,4,3,17046,9314,0,15,3,2,65,56,1,28,3,27,10,15,7
STAFF-571,571,No,No,30,25 - 34,Current Employees,R&D,Medical,Female,Laboratory Technician,Single,No,Y,2,1,2,Bachelor's Degree,3,1116,49,3,1,4,2564,7181,0,14,3,3,60,37,0,12,2,11,7,6,7
STAFF-573,573,No,Frequently,60,Over 55,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,5,1,28,Bachelor's Degree,3,1499,80,2,3,1,10266,2845,4,19,3,4,60,31,0,22,4,18,13,13,11
STAFF-574,574,No,Rarely,47,45 - 54,Current Employees,R&D,Medical,Female,Manufacturing Director,Divorced,No,Y,2,1,2,Associates Degree,1,983,65,3,2,4,5070,7389,5,13,3,3,75,48,3,20,3,5,0,0,4
STAFF-575,575,No,Rarely,46,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Director,Married,No,Y,2,1,2,Bachelor's Degree,1,1009,51,3,4,3,17861,2288,6,13,3,3,65,51,0,26,1,3,2,0,1
STAFF-577,577,No,Rarely,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,2,1,22,Bachelor's Degree,4,144,46,1,1,3,4230,19225,0,15,3,3,60,40,0,6,3,5,4,4,3
STAFF-578,578,No,Rarely,54,45 - 54,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Single,No,Y,3,1,8,Master's Degree,3,548,42,3,2,3,3780,23428,7,11,3,3,65,58,0,19,3,1,0,0,0
STAFF-579,579,No,Rarely,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,3,1,2,Master's Degree,4,1303,62,2,1,3,2768,8416,3,12,3,3,85,68,1,14,3,7,3,5,7
STAFF-580,580,No,Rarely,46,45 - 54,Current Employees,Sales,Marketing,Female,Sales Executive,Married,Yes,Y,3,1,10,Bachelor's Degree,3,1125,94,2,3,4,9071,11563,2,19,3,3,55,85,1,15,3,3,2,1,2
STAFF-581,581,No,Rarely,31,25 - 34,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,Y,6,1,9,High School,3,1274,33,3,3,2,10648,14394,1,25,4,4,75,69,1,13,4,13,8,0,8
STAFF-582,582,Yes,Rarely,33,25 - 34,Ex-Employees,R&D,Medical,Male,Manager,Married,Yes,Y,2,0,15,High School,2,1277,56,3,3,3,13610,24619,7,12,3,4,65,84,0,15,4,7,6,7,7
STAFF-584,584,Yes,Rarely,33,25 - 34,Ex-Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,2,0,10,High School,1,587,38,1,1,4,3408,6705,7,13,3,1,50,85,3,8,3,4,3,1,3
STAFF-585,585,No,Rarely,30,25 - 34,Current Employees,Sales,Marketing,Male,Sales Representative,Single,No,Y,3,1,7,High School,4,413,57,3,1,2,2983,18398,0,14,3,1,50,55,0,4,3,3,2,1,2
STAFF-586,586,No,Rarely,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Married,Yes,Y,2,1,16,Bachelor's Degree,4,1276,72,3,3,3,7632,14295,4,12,3,3,70,46,0,10,3,8,7,0,0
STAFF-587,587,Yes,Frequently,31,25 - 34,Ex-Employees,R&D,Life Sciences,Male,Healthcare Representative,Married,No,Y,2,0,20,Bachelor's Degree,1,534,66,3,3,3,9824,22908,3,12,3,1,70,75,0,12,3,1,0,0,0
STAFF-590,590,Yes,Frequently,34,25 - 34,Ex-Employees,HR,Human Resources,Female,Human Resources,Divorced,Yes,Y,2,0,23,Bachelor's Degree,2,988,43,3,3,1,9950,11533,9,15,3,3,55,35,3,11,3,3,2,0,2
STAFF-591,591,No,Frequently,42,35 - 44,Current Employees,R&D,Other,Male,Laboratory Technician,Married,No,Y,4,1,5,Associates Degree,2,1474,97,3,1,3,2093,9260,4,17,3,4,80,86,1,8,3,2,2,2,0
STAFF-592,592,No,No,36,35 - 44,Current Employees,Sales,Medical,Male,Sales Executive,Single,No,Y,3,1,10,Master's Degree,2,635,32,3,3,4,9980,15318,1,14,3,4,75,37,0,10,2,10,3,9,7
STAFF-593,593,Yes,Frequently,22,Under 25,Ex-Employees,R&D,Technical Degree,Male,Laboratory Technician,Single,No,Y,3,0,4,High School,3,1368,99,2,1,3,3894,9129,5,16,3,3,75,83,0,4,3,2,2,1,2
STAFF-595,595,No,Rarely,48,45 - 54,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,2,1,2,Doctoral Degree,2,163,37,3,2,4,4051,19658,2,14,3,1,60,36,1,14,3,9,7,6,7
STAFF-597,597,No,Rarely,55,Over 55,Current Employees,Sales,Life Sciences,Female,Manager,Single,No,Y,2,1,18,Doctoral Degree,1,1117,83,3,4,2,16835,9873,3,23,4,4,85,50,0,37,3,10,9,7,7
STAFF-599,599,No,No,41,35 - 44,Current Employees,Sales,Life Sciences,Male,Sales Executive,Single,No,Y,3,1,10,Associates Degree,4,267,56,3,2,4,6230,13430,7,14,3,4,80,40,0,16,3,14,3,1,10
STAFF-600,600,No,Rarely,35,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,2,1,1,Bachelor's Degree,2,619,85,3,2,3,4717,18659,9,11,3,3,75,67,0,15,3,11,9,6,9
STAFF-601,601,No,Rarely,40,35 - 44,Current Employees,R&D,Life Sciences,Female,Manufacturing Director,Single,No,Y,3,1,6,Bachelor's Degree,2,302,75,3,4,3,13237,20364,7,15,3,3,80,82,0,22,3,20,6,5,13
STAFF-602,602,No,Frequently,39,35 - 44,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Married,No,Y,3,1,8,High School,3,443,48,3,1,3,3755,17872,1,11,3,1,60,30,1,8,3,8,3,0,7
STAFF-604,604,No,Rarely,31,25 - 34,Current Employees,Sales,Life Sciences,Male,Sales Executive,Single,Yes,Y,2,1,2,High School,2,828,77,3,2,4,6582,8346,4,13,3,3,75,54,0,10,4,6,5,0,5
STAFF-605,605,No,Rarely,42,35 - 44,Current Employees,R&D,Medical,Male,Manufacturing Director,Married,Yes,Y,5,1,24,Bachelor's Degree,4,319,56,3,3,1,7406,6950,1,21,4,4,60,62,1,10,2,10,9,5,8
STAFF-606,606,No,Rarely,45,45 - 54,Current Employees,Sales,Other,Male,Sales Executive,Married,No,Y,3,1,2,Bachelor's Degree,4,561,61,3,2,2,4805,16177,0,19,3,2,70,85,1,9,4,8,7,3,7
STAFF-608,608,Yes,Frequently,26,25 - 34,Ex-Employees,HR,Life Sciences,Female,Human Resources,Divorced,Yes,Y,2,0,17,Master's Degree,2,426,58,3,1,3,2741,22808,0,11,3,2,80,67,1,8,2,7,7,1,0
STAFF-611,611,No,Rarely,29,25 - 34,Current Employees,R&D,Technical Degree,Male,Manufacturing Director,Divorced,No,Y,2,1,19,Bachelor's Degree,4,232,34,3,2,4,4262,22645,4,12,3,2,60,44,2,8,4,3,2,1,2
STAFF-612,612,No,Rarely,33,25 - 34,Current Employees,R&D,Medical,Female,Research Director,Divorced,No,Y,2,1,1,Doctoral Degree,1,922,95,4,4,3,16184,22578,4,19,3,3,75,44,1,10,3,6,1,0,5
STAFF-613,613,No,Rarely,31,25 - 34,Current Employees,Sales,Life Sciences,Male,Manager,Divorced,No,Y,3,1,7,Bachelor's Degree,3,688,44,2,3,4,11557,25291,9,21,4,3,70,57,1,10,2,5,4,0,1
STAFF-614,614,Yes,Frequently,18,Under 25,Ex-Employees,Sales,Marketing,Male,Sales Representative,Single,Yes,Y,3,0,5,Bachelor's Degree,2,1306,69,3,1,2,1878,8059,1,14,3,4,85,72,0,0,3,0,0,0,0
STAFF-615,615,No,No,40,35 - 44,Current Employees,Sales,Other,Male,Sales Executive,Divorced,No,Y,2,1,28,Bachelor's Degree,3,1094,58,1,3,1,10932,11373,3,15,3,3,75,69,1,20,3,1,0,0,1
STAFF-616,616,No,No,41,35 - 44,Current Employees,R&D,Other,Female,Healthcare Representative,Single,Yes,Y,3,1,2,Master's Degree,1,509,62,2,2,3,6811,2112,2,17,3,1,70,80,0,10,3,8,7,0,7
STAFF-618,618,No,Rarely,26,25 - 34,Current Employees,Sales,Medical,Male,Sales Executive,Divorced,No,Y,5,1,29,Associates Degree,1,775,45,3,2,3,4306,4267,5,12,3,1,65,43,2,8,3,0,0,0,0
STAFF-620,620,No,Rarely,35,35 - 44,Current Employees,Sales,Medical,Female,Sales Executive,Single,No,Y,3,1,1,Bachelor's Degree,1,195,80,3,2,3,4859,6698,1,16,3,4,65,65,0,5,3,5,4,0,3
STAFF-621,621,No,Rarely,34,25 - 34,Current Employees,Sales,Life Sciences,Male,Sales Executive,Single,No,Y,3,1,21,Master's Degree,4,258,74,4,2,4,5337,19921,1,12,3,4,70,61,0,10,3,10,7,5,7
STAFF-622,622,Yes,Rarely,26,25 - 34,Ex-Employees,R&D,Technical Degree,Male,Laboratory Technician,Single,Yes,Y,3,0,24,Bachelor's Degree,3,471,66,1,1,4,2340,23213,1,18,3,2,80,34,0,1,1,1,0,0,0
STAFF-623,623,No,Rarely,37,35 - 44,Current Employees,R&D,Technical Degree,Female,Manufacturing Director,Single,No,Y,3,1,1,Bachelor's Degree,2,799,59,3,3,4,7491,23848,4,17,3,4,55,55,0,12,4,6,5,1,2
STAFF-624,624,No,Frequently,46,45 - 54,Current Employees,R&D,Medical,Female,Healthcare Representative,Married,No,Y,3,1,18,High School,1,1034,86,3,3,3,10527,8984,5,11,3,4,55,66,0,28,2,2,2,1,2
STAFF-625,625,No,Rarely,41,35 - 44,Current Employees,Sales,Life Sciences,Female,Manager,Married,No,Y,2,1,2,Doctoral Degree,2,1276,91,3,4,1,16595,5626,7,16,3,2,65,52,1,22,3,18,16,11,8
STAFF-626,626,No,No,37,35 - 44,Current Employees,Sales,Medical,Male,Sales Executive,Divorced,No,Y,6,1,9,Master's Degree,1,142,69,3,3,2,8834,24666,1,13,3,4,60,33,1,9,3,9,5,7,7
STAFF-630,630,No,Rarely,52,45 - 54,Current Employees,R&D,Technical Degree,Male,Research Scientist,Divorced,Yes,Y,3,1,6,Associates Degree,4,956,78,3,2,1,5577,22087,3,12,3,2,85,54,2,18,3,10,9,6,9
STAFF-631,631,Yes,No,32,25 - 34,Ex-Employees,Sales,Other,Male,Sales Executive,Married,No,Y,2,0,11,Master's Degree,4,1474,60,4,2,3,4707,23914,8,12,3,4,50,87,0,6,3,4,2,1,2
STAFF-632,632,No,Frequently,24,Under 25,Current Employees,Sales,Medical,Male,Sales Representative,Married,No,Y,3,1,24,Bachelor's Degree,4,535,38,3,1,4,2400,5530,0,13,3,3,80,46,2,3,3,2,2,2,1
STAFF-634,634,No,Rarely,38,35 - 44,Current Employees,R&D,Medical,Female,Healthcare Representative,Married,No,Y,4,1,10,Bachelor's Degree,3,1495,76,3,2,3,9824,22174,3,19,3,3,85,69,1,18,3,1,0,0,0
STAFF-635,635,No,Rarely,37,35 - 44,Current Employees,R&D,Life Sciences,Female,Manufacturing Director,Married,No,Y,2,1,1,Master's Degree,2,446,65,3,2,2,6447,15701,6,12,3,2,75,53,1,8,2,6,5,4,3
STAFF-638,638,No,Rarely,49,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Director,Divorced,Yes,Y,5,1,18,Master's Degree,4,1245,58,2,5,3,19502,2125,1,17,3,3,85,45,1,31,3,31,9,0,9
STAFF-639,639,No,Rarely,24,Under 25,Current Employees,R&D,Medical,Male,Research Scientist,Married,Yes,Y,3,1,23,Bachelor's Degree,2,691,89,4,1,4,2725,21630,1,11,3,2,70,77,2,6,3,6,5,1,4
STAFF-641,641,No,Rarely,26,25 - 34,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,5,1,28,Associates Degree,1,703,66,3,2,2,6272,7428,1,20,4,4,80,33,2,6,4,5,3,1,4
STAFF-643,643,No,Rarely,24,Under 25,Current Employees,R&D,Other,Male,Laboratory Technician,Married,No,Y,2,1,17,Associates Degree,4,823,94,2,1,2,2127,9100,1,21,4,4,80,77,1,1,3,1,0,0,0
STAFF-644,644,No,Frequently,50,45 - 54,Current Employees,HR,Medical,Male,Manager,Married,No,Y,2,1,3,Bachelor's Degree,1,1246,99,3,5,2,18200,7999,1,11,3,3,70,74,1,32,3,32,5,10,7
STAFF-645,645,No,Rarely,25,25 - 34,Current Employees,Sales,Medical,Male,Sales Representative,Married,No,Y,1,1,13,High School,2,622,40,3,1,3,2096,26376,1,11,3,3,75,73,0,7,3,7,4,0,6
STAFF-647,647,Yes,Frequently,24,Under 25,Ex-Employees,R&D,Life Sciences,Female,Laboratory Technician,Married,Yes,Y,4,0,7,Bachelor's Degree,1,1287,55,3,1,3,2886,14168,1,16,3,4,60,30,1,6,3,6,3,1,2
STAFF-648,648,Yes,Frequently,30,25 - 34,Ex-Employees,Sales,Life Sciences,Male,Sales Representative,Married,No,Y,2,0,12,Master's Degree,2,448,74,2,1,1,2033,14470,1,18,3,3,65,68,1,1,4,1,0,0,0
STAFF-649,649,No,Rarely,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,Yes,Y,3,1,1,Associates Degree,2,254,83,2,1,4,3622,22794,1,13,3,4,65,63,1,6,3,6,5,1,3
STAFF-650,650,Yes,Rarely,31,25 - 34,Ex-Employees,Sales,Medical,Male,Sales Executive,Divorced,No,Y,2,0,13,Master's Degree,2,1365,46,3,2,1,4233,11512,2,17,3,3,80,74,0,9,1,3,1,1,2
STAFF-652,652,No,Rarely,35,35 - 44,Current Employees,R&D,Other,Male,Laboratory Technician,Single,No,Y,3,1,25,Associates Degree,1,538,54,2,2,4,3681,14004,4,14,3,4,65,49,0,9,3,3,2,0,2
STAFF-653,653,No,Rarely,31,25 - 34,Current Employees,Sales,Medical,Male,Sales Executive,Divorced,No,Y,4,1,6,Master's Degree,1,525,66,4,2,4,5460,6219,4,22,4,4,80,30,2,13,4,7,7,5,7
STAFF-655,655,No,Rarely,27,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Divorced,No,Y,5,1,6,Master's Degree,1,798,66,2,1,3,2187,5013,0,12,3,3,75,70,2,6,2,5,3,0,3
STAFF-656,656,No,Rarely,37,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Married,Yes,Y,3,1,2,Bachelor's Degree,4,558,75,3,2,3,9602,3010,4,11,3,3,70,82,1,17,2,3,0,1,0
STAFF-657,657,No,Rarely,20,Under 25,Current Employees,R&D,Life Sciences,Female,Research Scientist,Single,No,Y,0,1,1,Bachelor's Degree,4,959,83,2,1,2,2836,11757,1,13,3,4,70,82,0,1,4,1,0,0,0
STAFF-659,659,No,Rarely,42,35 - 44,Current Employees,R&D,Life Sciences,Female,Healthcare Representative,Married,No,Y,4,1,2,Master's Degree,3,622,81,3,2,4,4089,5718,1,13,3,2,75,79,2,10,3,10,2,2,2
STAFF-661,661,No,Rarely,43,35 - 44,Current Employees,R&D,Other,Male,Research Director,Divorced,Yes,Y,3,1,6,Master's Degree,2,782,50,2,4,4,16627,2671,4,14,3,3,55,68,1,21,2,1,0,0,0
STAFF-662,662,No,Rarely,38,35 - 44,Current Employees,R&D,Life Sciences,Female,Research Scientist,Single,No,Y,3,1,1,High School,3,362,43,3,1,1,2619,14561,3,17,3,4,60,50,0,8,2,0,0,0,0
STAFF-663,663,No,Frequently,43,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,Yes,Y,3,1,9,Doctoral Degree,4,1001,72,3,2,3,5679,19627,3,13,3,2,50,47,1,10,3,8,7,4,7
STAFF-664,664,No,Rarely,48,45 - 54,Current Employees,R&D,Life Sciences,Female,Manager,Married,No,Y,3,1,1,Master's Degree,4,1236,40,2,4,1,15402,17997,7,11,3,1,65,80,1,21,1,3,2,0,2
STAFF-665,665,No,Rarely,44,35 - 44,Current Employees,HR,Life Sciences,Female,Human Resources,Single,No,Y,1,1,1,Master's Degree,1,1112,50,2,2,3,5985,26894,4,11,3,2,70,62,0,10,4,2,2,0,2
STAFF-666,666,No,Rarely,34,25 - 34,Current Employees,Sales,Technical Degree,Female,Sales Representative,Divorced,Yes,Y,3,1,14,Bachelor's Degree,3,204,31,3,1,3,2579,2912,1,18,3,4,65,74,2,8,3,8,2,0,6
STAFF-667,667,Yes,Rarely,27,25 - 34,Ex-Employees,Sales,Marketing,Male,Sales Representative,Divorced,No,Y,3,0,2,High School,3,1420,85,3,1,1,3041,16346,0,11,3,2,65,60,1,5,3,4,3,0,2
STAFF-669,669,No,Rarely,21,Under 25,Current Employees,Sales,Technical Degree,Male,Sales Representative,Single,No,Y,2,1,22,High School,3,1343,49,3,1,3,3447,24444,1,11,3,3,65,65,0,3,3,3,2,1,2
STAFF-671,671,No,Rarely,44,35 - 44,Current Employees,R&D,Other,Male,Manager,Married,Yes,Y,2,1,3,Master's Degree,4,1315,35,3,5,4,19513,9358,4,12,3,1,75,36,1,26,4,2,2,0,1
STAFF-675,675,No,Rarely,22,Under 25,Current Employees,R&D,Medical,Male,Research Scientist,Married,No,Y,3,1,6,High School,1,604,69,3,1,3,2773,12145,0,20,4,4,70,54,0,3,3,2,2,2,2
STAFF-677,677,No,Rarely,33,25 - 34,Current Employees,Sales,Marketing,Male,Sales Executive,Divorced,No,Y,3,1,8,Master's Degree,3,1216,39,3,2,3,7104,20431,0,12,3,4,75,89,0,6,3,5,0,1,2
STAFF-679,679,No,Rarely,32,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Married,Yes,Y,2,1,9,Master's Degree,1,646,92,3,2,4,6322,18089,1,12,3,4,55,76,1,6,2,6,4,0,5
STAFF-680,680,No,Frequently,30,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Divorced,No,Y,2,1,3,Bachelor's Degree,3,160,71,3,1,3,2083,22653,1,20,4,3,50,80,1,1,3,1,0,0,0
STAFF-682,682,No,Rarely,53,45 - 54,Current Employees,Sales,Medical,Female,Sales Executive,Single,No,Y,2,1,1,High School,4,238,34,3,2,1,8381,7507,7,20,4,4,60,30,0,18,4,14,7,8,10
STAFF-683,683,No,Rarely,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,4,1,1,Doctoral Degree,2,1397,42,3,1,4,2691,7660,1,12,3,4,55,75,1,10,2,10,9,8,8
STAFF-684,684,Yes,Frequently,45,45 - 54,Ex-Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,4,0,26,Master's Degree,1,306,100,3,2,1,4286,5630,2,14,3,4,55,73,2,5,3,1,1,0,0
STAFF-686,686,No,Rarely,26,25 - 34,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Married,Yes,Y,2,1,6,Bachelor's Degree,3,991,71,3,1,4,2659,17759,1,13,3,3,65,62,1,3,3,3,2,0,2
STAFF-689,689,No,Rarely,37,35 - 44,Current Employees,R&D,Other,Male,Manufacturing Director,Married,No,Y,2,1,3,Bachelor's Degree,3,482,36,3,3,3,9434,9606,1,15,3,3,50,44,1,10,3,10,7,7,8
STAFF-690,690,No,Rarely,29,25 - 34,Current Employees,Sales,Medical,Female,Sales Executive,Married,No,Y,5,1,3,Associates Degree,2,1176,62,3,2,3,5561,3487,1,14,3,1,85,69,1,6,2,6,0,1,2
STAFF-691,691,No,Rarely,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,3,1,6,Master's Degree,2,1017,82,1,2,4,6646,19368,1,13,3,2,80,39,0,17,3,17,11,11,8
STAFF-692,692,No,Frequently,33,25 - 34,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,Y,2,1,6,Bachelor's Degree,3,1296,30,3,2,4,7725,5335,3,23,4,3,65,48,1,15,1,13,11,4,7
STAFF-698,698,No,Rarely,54,45 - 54,Current Employees,HR,Medical,Male,Human Resources,Married,No,Y,1,1,19,Master's Degree,3,397,88,3,3,2,10725,6729,2,15,3,3,80,54,1,16,4,9,7,7,1
STAFF-699,699,No,Rarely,36,35 - 44,Current Employees,R&D,Medical,Male,Manufacturing Director,Divorced,Yes,Y,2,1,9,Associates Degree,2,913,48,2,2,2,8847,13934,2,11,3,3,80,45,1,13,3,3,2,0,2
STAFF-700,700,No,Rarely,27,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Single,No,Y,0,1,3,Master's Degree,1,1115,54,2,1,4,2045,15174,0,13,3,4,80,71,0,5,3,4,2,1,1
STAFF-701,701,Yes,Rarely,20,Under 25,Ex-Employees,R&D,Medical,Male,Research Scientist,Single,Yes,Y,5,0,10,High School,4,1362,32,3,1,3,1009,26999,1,11,3,4,70,51,0,1,3,1,0,1,1
STAFF-702,702,Yes,Frequently,33,25 - 34,Ex-Employees,R&D,Life Sciences,Male,Research Scientist,Single,Yes,Y,3,0,3,Bachelor's Degree,1,1076,70,3,1,1,3348,3164,1,11,3,1,65,71,0,10,3,10,8,9,7
STAFF-704,704,No,No,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,3,1,3,Bachelor's Degree,3,727,41,2,1,3,1281,16900,1,18,3,3,70,42,2,1,3,1,0,0,0
